Pekerjaan,Hobi,Instansi,Domisili
Siswa,Membaca,SMA A,Kota Jakarta
Mahasiswa,Menulis,SMA B,Kota Cilegon
Content creator,Menyanyi,SMA C,Kota Serang
Content writer,Menari,Universitas Indonesia (UI),Kota Tangerang
Infuencer,Melukis,Institut Teknologi Bandung (ITB),Kota Tangerang Selatan
Desain grafis,Menonton,Universitas Gadjah Mada (UGM),Kabupaten Lebak
Ilustrator,Mendengarkan musik,Institut Pertanian Bogor (IPB),Kabupaten Pandeglang
Programmer,Makan,Universitas Airlangga (UNAIR),Kabupaten Serang
Penerjemah,Programming,Institut Teknologi Sepuluh Nopember (ITS),Kabupaten Tangerang
Data analyst,Olahraga,Universitas Padjadjaran (UNPAD),Kota Bandung
Blogger,Berkebun,Universitas Diponegoro (UNDIP),Kota Banjar
Penulis,Memasak,Universitas Sebelas Maret (UNS),Kota Bekasi
Web developer,Fotografi,Universitas Hasanuddin (UNHAS),Kota Bogor
App developer,Bermain game,Universitas Brawijaya (UB),Kota Cimahi
Video editor,Bermain musik,Universitas Sumatera Utara (USU),Kota Cirebon
,Eksplor alam,Universitas Andalas (UNAND),Kota Depok
,Kolektor,Universitas Udayana (UNUD),Kota Sukabumi
,Memelihara hewan,Universitas Lampung (UNILA),Kota Tasikmalaya
,Merakit model,Universitas Negeri Jakarta (UNJ),Kabupaten Bandung
,Menganyam,Universitas Negeri Yogyakarta (UNY),Kabupaten Bandung Barat
,,Universitas Negeri Semarang (UNNES),Kabupaten Bekasi
,,Universitas Negeri Malang (UM),Kabupaten Bogor
,,Universitas Negeri Surabaya (UNESA),Kabupaten Ciamis
,,Universitas Bina Nusantara (Binus),Kabupaten Cianjur
,,Universitas Telkom,Kabupaten Cirebon
,,Universitas Gunadarma,Kabupaten Garut
,,Universitas Dian Nuswantoro,Kabupaten Indramayu
,,PT Freeport,Kabupaten Karawang
,,PT Pertamina,Kabupaten Kuningan
,,PT PLN,Kabupaten Majalengka
,,PT Unilever Indonesia,Kabupaten Pangandaran
,,PT Bank Central Asia Tbk,Kabupaten Purwakarta
,,PT Bank Mandiri Tbk,Kabupaten Subang
,,PT Bank Rakyat Indonesia Tbk,Kabupaten Sukabumi
,,PT Bank Negara Indonesia Tbk,Kabupaten Sumedang
,,PT Telkom Indonesia,Kabupaten Tasikmalaya
,,PT Astra International,Kota Magelang
,,PT Semen Indonesia,Kota Pekalongan
,,PT Garuda Indonesia,Kota Salatiga
,,PT Gudang Garam Tbk,Kota Semarang
,,,Kota Surakarta
,,,Kota Tegal
,,,Kabupaten Banjarnegara
,,,Kabupaten Banyumas
,,,Kabupaten Batang
,,,Kabupaten Blora
,,,Kabupaten Boyolali
,,,Kabupaten Brebes
,,,Kabupaten Cilacap
,,,Kabupaten Demak
,,,Kabupaten Grobogan
,,,Kabupaten Jepara
,,,Kabupaten Karanganyar
,,,Kabupaten Kebumen
,,,Kabupaten Kendal
,,,Kabupaten Klaten
,,,Kabupaten Kudus
,,,Kabupaten Magelang
,,,Kabupaten Pati
,,,Kabupaten Pekalongan
,,,Kabupaten Pemalang
,,,Kabupaten Purbalingga
,,,Kabupaten Purworejo
,,,Kabupaten Rembang
,,,Kabupaten Semarang
,,,Kabupaten Sragen
,,,Kabupaten Sukoharjo
,,,Kabupaten Tegal
,,,Kabupaten Temanggung
,,,Kabupaten Wonogiri
,,,Kabupaten Wonosobo
,,,Kota Yogyakarta
,,,Kabupaten Bantul
,,,Kabupaten Gunungkidul
,,,Kabupaten Kulonprogo
,,,Kabupaten Sleman
,,,Kota Batu
,,,Kota Blitar
,,,Kota Kediri
,,,Kota Malang
,,,Kota Madiun
,,,Kota Mojokerto
,,,Kota Pasuruan
,,,Kota Probolinggo
,,,Kota Surabaya
,,,Kabupaten Bangkalan
,,,Kabupaten Banyuwangi
,,,Kabupaten Blitar
,,,Kabupaten Bojonegoro
,,,Kabupaten Bondowoso
,,,Kabupaten Gresik
,,,Kabupaten Jember
,,,Kabupaten Jombang
,,,Kabupaten Kediri
,,,Kabupaten Lamongan
,,,Kabupaten Lumajang
,,,Kabupaten Madiun
,,,Kabupaten Magetan
,,,Kabupaten Malang
,,,Kabupaten Mojokerto
,,,Kabupaten Nganjuk
,,,Kabupaten Ngawi
,,,Kabupaten Pacitan
,,,Kabupaten Pamekasan
,,,Kabupaten Pasuruan
,,,Kabupaten Ponorogo
,,,Kabupaten Probolinggo
,,,Kabupaten Sampang
,,,Kabupaten Sidoarjo
,,,Kabupaten Situbondo
,,,Kabupaten Sumenep
,,,Kabupaten Trenggalek
,,,Kabupaten Tuban
,,,Kabupaten Tulungagung